Name,Age,Score
John,28,85
Linda,32,88
Linda,32,88
Anna,24,90
Anna,24,90
Peter,35,75
John,28,85
John,28,85
Linda,32,88
Peter,35,75
John,28,85
Linda,32,88
Anna,24,90
John,28,85
Peter,35,75
John,28,85
Anna,24,90
Anna,24,90
John,28,85
Anna,24,90
John,28,85
Peter,35,75
John,28,85
John,28,85
John,28,85
John,28,85
Anna,24,90
Anna,24,90
John,28,85
Linda,32,88
Peter,35,75
John,28,85
Linda,32,88
John,28,85
Anna,24,90
John,28,85
Linda,32,88
Linda,32,88
John,28,85
Anna,24,90
Anna,24,90
Peter,35,75
Linda,32,88
Anna,24,90
Linda,32,88
Anna,24,90
Peter,35,75
Peter,35,75
Anna,24,90
Linda,32,88
Anna,24,90
Linda,32,88
Peter,35,75
Peter,35,75
Anna,24,90
John,28,85
Anna,24,90
Peter,35,75
Linda,32,88
Peter,35,75
John,28,85
Peter,35,75
John,28,85
Linda,32,88
Linda,32,88
Linda,32,88
Peter,35,75
John,28,85
Anna,24,90
Peter,35,75
John,28,85
Anna,24,90
Anna,24,90
Linda,32,88
Anna,24,90
Peter,35,75
Peter,35,75
Linda,32,88
Peter,35,75
John,28,85
Linda,32,88
Linda,32,88
John,28,85
John,28,85
John,28,85
Anna,24,90
Linda,32,88
Peter,35,75
Linda,32,88
Anna,24,90
Anna,24,90
Anna,24,90
Anna,24,90
Peter,35,75
John,28,85
John,28,85
Peter,35,75
Anna,24,90
John,28,85
Anna,24,90
Anna,24,90
John,28,85
Peter,35,75
John,28,85
Anna,24,90
John,28,85
Linda,32,88
John,28,85
Linda,32,88
Linda,32,88
Anna,24,90
John,28,85
Peter,35,75
John,28,85
Peter,35,75
John,28,85
Anna,24,90
Anna,24,90
John,28,85
Linda,32,88
Anna,24,90
Linda,32,88
John,28,85
John,28,85
John,28,85
John,28,85
John,28,85
Linda,32,88
Linda,32,88
Anna,24,90
Anna,24,90
John,28,85
Peter,35,75
Linda,32,88
Peter,35,75
John,28,85
Linda,32,88
John,28,85
John,28,85
John,28,85
John,28,85
Anna,24,90
Linda,32,88
Linda,32,88
Peter,35,75
Anna,24,90
Linda,32,88
Linda,32,88
Peter,35,75
Peter,35,75
Anna,24,90
John,28,85
Peter,35,75
Anna,24,90
Linda,32,88
Linda,32,88
John,28,85
Anna,24,90
Anna,24,90
Linda,32,88
Peter,35,75
Linda,32,88
Peter,35,75
Anna,24,90
John,28,85
John,28,85
Peter,35,75
Peter,35,75
John,28,85
Anna,24,90
Linda,32,88
Linda,32,88
John,28,85
John,28,85
Linda,32,88
Peter,35,75
Anna,24,90
John,28,85
John,28,85
John,28,85
Anna,24,90
Linda,32,88
Linda,32,88
Linda,32,88
Peter,35,75
Anna,24,90
Linda,32,88
John,28,85
Anna,24,90
Anna,24,90
John,28,85
Linda,32,88
Linda,32,88
Linda,32,88
John,28,85
Anna,24,90
John,28,85
Peter,35,75
Peter,35,75
Anna,24,90
Anna,24,90
Linda,32,88
Linda,32,88
John,28,85
Anna,24,90
Peter,35,75
Linda,32,88
Anna,24,90
Linda,32,88
Peter,35,75
Peter,35,75
Peter,35,75
John,28,85
John,28,85
Anna,24,90
John,28,85
Linda,32,88
Peter,35,75
Anna,24,90
John,28,85
Linda,32,88
John,28,85
Linda,32,88
John,28,85
Peter,35,75
John,28,85
Linda,32,88
John,28,85
John,28,85
John,28,85
Linda,32,88
John,28,85
Peter,35,75
John,28,85
John,28,85
John,28,85
John,28,85
Anna,24,90
Peter,35,75
Peter,35,75
John,28,85
Linda,32,88
Anna,24,90
Linda,32,88
Anna,24,90
John,28,85
Peter,35,75
Linda,32,88
John,28,85
John,28,85
Anna,24,90
John,28,85
Anna,24,90
Linda,32,88
John,28,85
Peter,35,75
Anna,24,90
John,28,85
Anna,24,90
Anna,24,90
Linda,32,88
John,28,85
Anna,24,90
Peter,35,75
John,28,85
Linda,32,88
Linda,32,88
Peter,35,75
John,28,85
Linda,32,88
Anna,24,90
Linda,32,88
Linda,32,88
Anna,24,90
Linda,32,88
Peter,35,75
Linda,32,88
Linda,32,88
Linda,32,88
Linda,32,88
Peter,35,75
John,28,85
Anna,24,90
Peter,35,75
Anna,24,90
Peter,35,75
Anna,24,90
Peter,35,75
Peter,35,75
Anna,24,90
Linda,32,88
John,28,85
Anna,24,90
Linda,32,88
John,28,85
Linda,32,88
John,28,85
Anna,24,90
Linda,32,88
Linda,32,88
John,28,85
John,28,85
Anna,24,90
John,28,85
John,28,85
Peter,35,75
Peter,35,75
Peter,35,75
Linda,32,88
Anna,24,90
John,28,85
John,28,85
Anna,24,90
Peter,35,75
Anna,24,90
John,28,85
John,28,85
John,28,85
Linda,32,88
Peter,35,75
Linda,32,88
Anna,24,90
Linda,32,88
John,28,85
Linda,32,88
Anna,24,90
John,28,85
Linda,32,88
Peter,35,75
John,28,85
Anna,24,90
Peter,35,75
Anna,24,90
Linda,32,88
John,28,85
Anna,24,90
Peter,35,75
Peter,35,75
Anna,24,90
Anna,24,90
Linda,32,88
Anna,24,90
Peter,35,75
Linda,32,88
Peter,35,75
John,28,85
Peter,35,75
Anna,24,90
Anna,24,90
Peter,35,75
Anna,24,90
Linda,32,88
John,28,85
John,28,85
John,28,85
Anna,24,90
Linda,32,88
Anna,24,90
Anna,24,90
Anna,24,90
John,28,85
Linda,32,88
Peter,35,75
John,28,85
Anna,24,90
John,28,85
Linda,32,88
Anna,24,90
John,28,85
John,28,85
Peter,35,75
John,28,85
Linda,32,88
Anna,24,90
Peter,35,75
Linda,32,88
Anna,24,90
Anna,24,90
Peter,35,75
Anna,24,90
Linda,32,88
Peter,35,75
Linda,32,88
Anna,24,90
Anna,24,90
John,28,85
Peter,35,75
Linda,32,88
John,28,85
John,28,85
Peter,35,75
Anna,24,90
John,28,85
Anna,24,90
Peter,35,75
Anna,24,90
John,28,85
John,28,85
Linda,32,88
Linda,32,88
Peter,35,75
Linda,32,88
Anna,24,90
Linda,32,88
John,28,85
John,28,85
Anna,24,90
Anna,24,90
John,28,85
Anna,24,90
Peter,35,75
Peter,35,75
Linda,32,88
Peter,35,75
Anna,24,90
Linda,32,88
Anna,24,90
John,28,85
Anna,24,90
Anna,24,90
Peter,35,75
John,28,85
Linda,32,88
Peter,35,75
Peter,35,75
John,28,85
John,28,85
John,28,85
Linda,32,88
Peter,35,75
Linda,32,88
Linda,32,88
Linda,32,88
John,28,85
John,28,85
John,28,85
Anna,24,90
John,28,85
John,28,85
Anna,24,90
Peter,35,75
Anna,24,90
Anna,24,90
Peter,35,75
Anna,24,90
Peter,35,75
John,28,85
Peter,35,75
Peter,35,75
Anna,24,90
Linda,32,88
Anna,24,90
Linda,32,88
Anna,24,90
Linda,32,88
Linda,32,88
Anna,24,90
John,28,85
Peter,35,75
Peter,35,75
John,28,85
Anna,24,90
John,28,85
John,28,85
Linda,32,88
Linda,32,88
John,28,85
Anna,24,90
John,28,85
Peter,35,75
John,28,85
Linda,32,88
John,28,85
John,28,85
Peter,35,75
John,28,85
Anna,24,90
John,28,85
Peter,35,75
Anna,24,90
Linda,32,88
Anna,24,90
Linda,32,88
Peter,35,75
Peter,35,75
Peter,35,75
Peter,35,75
Peter,35,75
Peter,35,75
Anna,24,90
Peter,35,75
Anna,24,90
Peter,35,75
Peter,35,75
Linda,32,88
Linda,32,88
Anna,24,90
Anna,24,90
Linda,32,88
Peter,35,75
Anna,24,90
Peter,35,75
John,28,85
Linda,32,88
Linda,32,88
Anna,24,90
John,28,85
John,28,85
Anna,24,90
Linda,32,88
Anna,24,90
Anna,24,90
John,28,85
Linda,32,88
Linda,32,88
Linda,32,88
Linda,32,88
John,28,85
Anna,24,90
Peter,35,75
Linda,32,88
John,28,85
Anna,24,90
Peter,35,75
John,28,85
Peter,35,75
Anna,24,90
Peter,35,75
Peter,35,75
Anna,24,90
Linda,32,88
Peter,35,75
Anna,24,90
Peter,35,75
Peter,35,75
John,28,85
Peter,35,75
Linda,32,88
Linda,32,88
Linda,32,88
Anna,24,90
Linda,32,88
Anna,24,90
John,28,85
John,28,85
Peter,35,75
John,28,85
Anna,24,90
Peter,35,75
John,28,85
Linda,32,88
Peter,35,75
John,28,85
Linda,32,88
John,28,85
Peter,35,75
Linda,32,88
Peter,35,75
Linda,32,88
Linda,32,88
Anna,24,90
Linda,32,88
Linda,32,88
Anna,24,90
Linda,32,88
John,28,85
John,28,85
John,28,85
Linda,32,88
Linda,32,88
Peter,35,75
Peter,35,75
John,28,85
Peter,35,75
Linda,32,88
Peter,35,75
John,28,85
Linda,32,88
John,28,85
Linda,32,88
John,28,85
Anna,24,90
Linda,32,88
John,28,85
Peter,35,75
Peter,35,75
Anna,24,90
Linda,32,88
Peter,35,75
Linda,32,88
Peter,35,75
Anna,24,90
Anna,24,90
John,28,85
Anna,24,90
John,28,85
John,28,85
John,28,85
John,28,85
Anna,24,90
Anna,24,90
Linda,32,88
Linda,32,88
Peter,35,75
Anna,24,90
Peter,35,75
Linda,32,88
Linda,32,88
Anna,24,90
John,28,85
Anna,24,90
Linda,32,88
John,28,85
Anna,24,90
Peter,35,75
Anna,24,90
John,28,85
John,28,85
Peter,35,75
Anna,24,90
Peter,35,75
Anna,24,90
Linda,32,88
Linda,32,88
Peter,35,75
Anna,24,90
Peter,35,75
John,28,85
Linda,32,88
Linda,32,88
Peter,35,75
Anna,24,90
Anna,24,90
John,28,85
Linda,32,88
Anna,24,90
Anna,24,90
Peter,35,75
Linda,32,88
Anna,24,90
Linda,32,88
Anna,24,90
John,28,85
Anna,24,90
Linda,32,88
Linda,32,88
John,28,85
John,28,85
Anna,24,90
Linda,32,88
Anna,24,90
Anna,24,90
Anna,24,90
Anna,24,90
John,28,85
Linda,32,88
Peter,35,75
Anna,24,90
John,28,85
Anna,24,90
Peter,35,75
Peter,35,75
John,28,85
Anna,24,90
Linda,32,88
Linda,32,88
Anna,24,90
Peter,35,75
Anna,24,90
Peter,35,75
John,28,85
Anna,24,90
John,28,85
John,28,85
Anna,24,90
Anna,24,90
Anna,24,90
Linda,32,88
Anna,24,90
Peter,35,75
Linda,32,88
Anna,24,90
Anna,24,90
Anna,24,90
John,28,85
Anna,24,90
Anna,24,90
Linda,32,88
Peter,35,75
Anna,24,90
John,28,85
Linda,32,88
Anna,24,90
Linda,32,88
Peter,35,75
John,28,85
Linda,32,88
John,28,85
Peter,35,75
Peter,35,75
John,28,85
Anna,24,90
Anna,24,90
Peter,35,75
Peter,35,75
Linda,32,88
Peter,35,75
John,28,85
Peter,35,75
Peter,35,75
Peter,35,75
John,28,85
John,28,85
John,28,85
Peter,35,75
Linda,32,88
Anna,24,90
John,28,85
John,28,85
Anna,24,90
John,28,85
Anna,24,90
John,28,85
Peter,35,75
Linda,32,88
John,28,85
Anna,24,90
John,28,85
Peter,35,75
Peter,35,75
Anna,24,90
Linda,32,88
Anna,24,90
Peter,35,75
Peter,35,75
John,28,85
Peter,35,75
John,28,85
Linda,32,88
Linda,32,88
Peter,35,75
Linda,32,88
John,28,85
Anna,24,90
John,28,85
Linda,32,88
Linda,32,88
Anna,24,90
Anna,24,90
Linda,32,88
Peter,35,75
Anna,24,90
Anna,24,90
Linda,32,88
John,28,85
Peter,35,75
John,28,85
John,28,85
Linda,32,88
Peter,35,75
Anna,24,90
Linda,32,88
Peter,35,75
John,28,85
John,28,85
John,28,85
John,28,85
Anna,24,90
Linda,32,88
John,28,85
Anna,24,90
Peter,35,75
Linda,32,88
Linda,32,88
John,28,85
Linda,32,88
Anna,24,90
